player;club;position;minutes;age;goals;assists;xg;xg_assist;npxg;defense__tackles;defense__interceptions;passing__passes;passing__passes_completed;passing__progressive_passes;possession__carries;possession__progressive_carries;goals_p90;assists_p90;xg_p90;xg_assist_p90;npxg_p90;cluster
Daniel Bentley;Wolves;GK;180;31;0;0;0;0;0;0;0;65;49;0;39;0;0,0;0,0;0,0;0,0;0,0;1
Sander Berge;Fulham;MF;2,224;26;0;0;4;6;4;50;21;1193;1091;124;804;29;0,0;0,0;161,871;242,806;161,871;0
Lucas Bergvall;Tottenham;MF;1,212;18;0;1;7;6;7;39;24;720;629;49;531;33;0,0;74,257;519,802;445,545;519,802;0
Victor Bernth Kristiansen;Leicester City;DF;2,482;21;0;1;3;14;3;87;42;1321;1023;70;816;40;0,0;36,261;108,783;507,655;108,783;0
Beto;Everton;FW;1,534;26;8;0;82;12;82;14;4;268;156;16;267;15;469,361;0,0;4810,952;704,042;4810,952;2
Philip Billing;Bournemouth;MF;184;28;0;0;6;11;6;14;5;102;70;15;58;3;0,0;0,0;2,935;5,38;2,935;1
Yves Bissouma;Tottenham;MF;1,408;27;2;0;6;3;6;49;18;852;755;75;610;15;127,841;0,0;383,523;191,761;383,523;0
Lamare Bogarde;Aston Villa;DF,MF;476;20;0;0;0;1;0;14;1;272;240;14;173;12;0,0;0,0;0,0;0,189;0,0;1
Willy Boly;Nott'ham Forest;DF;150;33;0;0;1;0;1;6;3;70;55;2;35;0;0,0;0,0;0,6;0,0;0,6;1
Sven Botman;Newcastle Utd;DF;412;24;0;0;5;5;5;12;5;246;220;7;145;0;0,0;0,0;1,092;1,092;1,092;1
Jarrod Bowen;West Ham;FW,MF;2,973;27;13;8;86;68;78;41;16;815;584;91;741;109;393,542;242,18;2603,431;2058,527;2361,251;2
Conor Bradley;Liverpool;DF;754;21;0;2;7;14;7;14;4;544;456;33;369;35;0,0;0,239;0,836;1,671;0,836;1
Jarrad Branthwaite;Everton;DF;2,511;22;0;1;12;7;12;36;27;1198;984;66;747;10;0,0;35,842;430,108;250,896;430,108;0
James Bree;Southampton;DF;1,075;26;0;1;1;9;1;19;9;599;500;34;363;13;0,0;83,721;83,721;753,488;83,721;1
Ben Brereton;Southampton;FW;449;25;0;0;9;1;9;3;0;166;128;9;136;12;0,0;0,0;1,804;0,2;1,804;1
Nathan Broadhead;Ipswich Town;MF,FW;702;26;2;0;17;7;17;9;4;228;178;14;174;20;0,256;0,0;2,179;0,897;2,179;1
Armando Broja;Everton;FW;334;22;0;0;1;2;1;3;1;73;53;2;64;12;0,0;0,0;0,269;0,539;0,269;1
David Brooks;Bournemouth;FW,MF;960;27;2;0;25;19;25;14;5;411;310;35;342;35;0,188;0,0;2,344;1,781;2,344;1
Emi Buendía;Aston Villa;MF,FW;98;27;0;0;7;0;7;6;0;60;49;7;53;3;0,0;0,0;6,429;0,0;6,429;1
Santiago Bueno;Wolves;DF;1,687;25;0;0;4;0;4;41;15;842;741;28;555;1;0,0;0,0;213,397;0,0;213,397;1
Facundo Buonanotte;Leicester City;FW,MF;1,523;19;5;2;39;31;39;53;12;572;437;54;479;39;295,469;118,188;2304,662;1831,911;2304,662;2
Cameron Burgess;Ipswich Town;DF;1,541;28;0;2;11;5;11;17;14;774;626;42;430;2;0,0;116,807;642,44;292,018;642,44;1
Dan Burn;Newcastle Utd;DF;3,330;32;1;1;20;9;20;39;27;2006;1774;75;1346;12;27,027;27,027;540,541;243,243;540,541;0
Wes Burns;Ipswich Town;FW,DF;926;29;0;1;5;16;5;13;10;253;153;8;216;38;0,0;0,097;0,486;1,555;0,486;1
Moisés Caicedo;Chelsea;MF,DF;3,351;22;1;2;8;30;8;114;49;2194;1967;215;1409;43;26,858;53,715;214,861;805,73;214,861;0
Tom Cairney;Fulham;MF;628;33;2;0;8;11;8;13;4;627;569;53;456;18;0,287;0,0;1,146;1,576;1,146;1
Jens Cajuste;Ipswich Town;MF;1,959;24;1;1;7;8;7;44;28;783;647;59;481;26;45,942;45,942;321,593;367,534;321,593;0
Riccardo Calafiori;Arsenal;DF;983;22;2;1;9;3;9;27;9;549;470;54;308;22;0,183;0,092;0,824;0,275;0,824;1
Dominic Calvert-Lewin;Everton;FW;1,609;27;3;1;67;6;67;9;7;289;181;20;280;23;167,806;55,935;3747,669;335,612;3747,669;2
Diego Carlos;Aston Villa;DF;830;31;0;0;6;0;6;8;5;603;534;34;419;3;0,0;0,0;0,651;0,0;0,651;1
Fabio Carvalho;Brentford;FW,MF;455;21;2;1;25;7;25;13;3;178;126;17;137;9;0,396;0,198;4,945;1,385;4,945;1
Casemiro;Manchester Utd;MF;1,494;32;1;0;19;23;19;83;14;990;780;84;660;4;60,241;0,0;1144,578;1385,542;1144,578;0
Matty Cash;Aston Villa;DF;2,070;26;1;1;5;11;5;56;23;945;732;42;595;48;43,478;43,478;217,391;478,261;217,391;0
Timothy Castagne;Fulham;DF;1,649;28;0;1;4;12;4;46;22;953;780;62;547;17;0,0;54,579;218,314;654,942;218,314;0
Trevoh Chalobah;Crystal Palace;DF;1,060;25;3;0;12;4;12;20;19;442;349;34;278;11;254,717;0,0;1018,868;339,623;1018,868;1
Trevoh Chalobah;Chelsea;DF;910;25;0;1;8;12;8;11;10;677;609;37;426;4;0,0;0,099;0,791;1,187;0,791;1
Conor Chaplin;Ipswich Town;MF,FW;857;27;1;1;15;7;15;15;4;319;235;29;179;13;0,105;0,105;1,575;0,735;1,575;1
Federico Chiesa;Liverpool;FW;108;26;0;0;3;2;3;1;0;31;27;3;31;3;0,0;0,0;2,5;1,667;2,5;1
Ben Chilwell;Crystal Palace;DF;259;27;1;0;2;8;2;7;6;125;92;8;68;5;0,347;0,0;0,695;2,78;0,695;1
Hamza Choudhury;Leicester City;MF,DF;131;26;0;0;0;4;0;1;5;84;72;3;63;4;0,0;0,0;0,0;2,748;0,0;1
Ryan Christie;Bournemouth;MF;2,117;29;2;3;18;35;18;54;30;1056;837;137;726;34;85,026;127,539;765,234;1487,955;765,234;0
Harry Clarke;Ipswich Town;DF;379;23;0;0;1;0;1;5;4;236;190;14;118;5;0,0;0,0;0,237;0,0;0,237;1
Jack Clarke;Ipswich Town;FW,MF;1,181;23;0;4;12;23;12;32;7;393;302;44;311;39;0,0;304,826;914,479;1752,752;914,479;0
Nathaniel Clyne;Crystal Palace;DF,MF;483;33;0;0;0;3;0;12;3;225;171;7;158;6;0,0;0,0;0,0;0,559;0,0;1
Conor Coady;Leicester City;DF;1,714;31;1;0;4;1;4;13;13;1072;977;32;789;3;52,509;0,0;210,035;52,509;210,035;1
Séamus Coleman;Everton;DF;215;35;0;0;6;0;6;3;1;98;74;11;54;1;0,0;0,0;2,512;0,0;2,512;1
Nathan Collins;Brentford;DF;3,420;23;2;3;25;18;25;40;34;1985;1705;127;1289;32;52,632;78,947;657,895;473,684;657,895;0
Toby Collyer;Manchester Utd;MF;179;20;0;0;2;3;2;12;2;92;76;5;68;0;0,0;0,0;1,006;1,508;1,006;1
Levi Colwill;Chelsea;DF;3,149;21;2;1;19;11;19;47;33;2619;2338;131;1621;14;57,161;28,581;543,03;314,386;543,03;0
Lewis Cook;Bournemouth;MF,DF;2,978;27;1;3;9;41;9;81;41;1585;1224;158;825;33;30,222;90,665;271,995;1239,087;271,995;0
Vladimír Coufal;West Ham;DF;1,067;31;0;0;3;7;3;22;8;598;470;39;298;26;0,0;0,0;253,046;590,44;253,046;1
Woyo Coulibaly;Leicester City;DF;109;25;0;0;0;0;0;6;5;57;48;3;48;4;0,0;0,0;0,0;0,0;0,0;1
Aaron Cresswell;West Ham;DF;824;34;0;0;2;13;2;11;8;610;504;36;291;6;0,0;0,0;0,218;1,42;0,218;1
Marc Cucurella;Chelsea;DF;2,988;26;5;1;28;21;28;67;28;1916;1680;118;944;35;150,602;30,12;843,373;632,53;843,373;0
Jorge Cuenca;Fulham;DF;351;24;0;0;0;0;0;6;2;173;145;10;89;0;0,0;0,0;0,0;0,0;0,0;1
Matheus Cunha;Wolves;MF,FW;2,597;25;15;6;86;77;86;38;17;1133;811;144;904;112;519,831;207,932;2980,362;2668,464;2980,362;2
Patson Daka;Leicester City;FW,MF;736;25;1;0;13;1;13;19;1;147;106;8;141;11;0,122;0,0;1,59;0,122;1,59;1
Diogo Dalot;Manchester Utd;DF;2,814;25;0;3;20;20;20;68;37;1673;1347;103;1126;62;0,0;95,949;639,659;639,659;639,659;0
Mikkel Damsgaard;Brentford;MF,FW;2,911;24;2;10;28;84;28;83;27;1529;1107;234;1076;73;61,834;309,172;865,682;2597,046;865,682;0
Danilo;Nott'ham Forest;MF,FW;275;23;0;0;0;0;0;8;4;121;94;11;54;2;0,0;0,0;0,0;0,0;0,0;1
Kevin Danso;Tottenham;DF;842;25;0;0;4;1;4;7;6;555;480;19;448;11;0,0;0,0;0,428;0,107;0,428;1
Ben Davies;Tottenham;DF;1,331;31;0;0;3;2;3;17;12;1023;896;52;664;14;0,0;0,0;202,855;135,237;202,855;1
Leif Davis;Ipswich Town;DF;2,743;24;1;2;10;49;10;46;25;1284;919;59;708;52;32,811;65,622;328,108;1607,729;328,108;0
Craig Dawson;Wolves;DF;971;34;0;0;5;0;5;15;9;559;484;20;390;6;0,0;0,0;0,463;0,0;0,463;1
Kevin De Bruyne;Manchester City;MF,FW;1,702;33;4;7;51;80;51;17;7;1196;908;157;812;51;211,516;370,153;2696,827;4230,317;2696,827;2
Bobby De Cordova-Reid;Leicester City;FW;744;31;1;2;8;12;8;9;0;206;145;15;174;14;0,121;0,242;0,968;1,452;0,968;1
Liam Delap;Ipswich Town;FW;2,593;21;12;2;93;19;78;11;2;357;219;30;445;61;416,506;69,418;3227,921;659,468;2707,289;2
Sepp van den Berg;Brentford;DF;2,586;22;0;0;20;8;20;39;21;1278;1092;79;737;12;0,0;0,0;696,056;278,422;696,056;0
Justin Devenny;Crystal Palace;MF;507;20;1;1;8;6;8;17;0;205;148;21;134;5;0,178;0,178;1,42;1,065;1,42;1
Kiernan Dewsbury-Hall;Chelsea;MF,FW;264;25;0;1;2;11;2;8;2;152;127;14;95;5;0,0;0,341;0,682;3,75;0,682;1
Amad Diallo;Manchester Utd;MF,FW;1,901;22;8;6;47;49;47;38;11;949;795;60;782;109;378,748;284,061;2225,145;2319,832;2225,145;2
Rúben Dias;Manchester City;DF;2,271;27;0;0;15;3;15;17;20;2317;2167;160;1775;43;0,0;0,0;594,452;118,89;594,452;0
Luis Díaz;Liverpool;FW;2,399;27;13;5;120;50;120;39;7;874;736;110;780;108;487,703;187,578;4501,876;1875,782;4501,876;2
Tyler Dibling;Southampton;FW,MF;1,874;18;2;0;25;15;25;34;8;620;504;64;558;69;96,051;0,0;1200,64;720,384;1200,64;0
Lucas Digne;Aston Villa;DF;2,351;31;0;4;8;47;8;65;25;1277;956;57;683;23;0,0;153,126;306,253;1799,234;306,253;0
Issa Diop;Fulham;DF;1,339;27;0;0;5;1;5;26;9;758;663;25;533;6;0,0;0,0;336,072;67,214;336,072;1
Axel Disasi;Aston Villa;DF;490;26;0;0;1;4;1;8;5;280;243;16;207;10;0,0;0,0;0,184;0,735;0,184;1
Axel Disasi;Chelsea;DF;364;26;1;0;3;1;3;7;2;293;266;16;196;6;0,247;0,0;0,742;0,247;0,742;1
Matt Doherty;Wolves;DF;2,109;32;2;1;10;15;10;38;22;1302;1078;79;825;29;85,349;42,674;426,743;640,114;426,743;0
Jeremy Doku;Manchester City;FW,MF;1,516;22;3;6;13;48;13;31;4;762;603;69;796;213;178,1;356,201;771,768;2849,604;771,768;2
Nicolás Domínguez;Nott'ham Forest;MF,FW;1,963;26;0;1;15;13;15;86;29;947;821;83;471;16;0,0;45,848;687,723;596,026;687,723;0
Patrick Dorgu;Manchester Utd;DF;842;19;0;0;4;7;4;31;4;494;400;34;354;41;0,0;0,0;0,428;0,748;0,428;1
Abdoulaye Doucouré;Everton;MF;2,564;31;3;2;41;24;41;48;10;903;725;82;604;42;105,304;70,203;1439,158;842,434;1439,158;0
Cheick Doucouré;Crystal Palace;MF;452;24;0;0;4;0;4;16;11;204;174;19;133;2;0,0;0,0;0,796;0,0;0,796;1
Flynn Downes;Southampton;MF;2,151;25;1;0;6;11;6;49;32;1109;1003;66;641;29;41,841;0,0;251,046;460,251;251,046;0
Tommy Doyle;Wolves;MF;488;22;0;1;6;5;6;11;5;392;321;40;260;6;0,0;0,184;1,107;0,922;1,107;1
Radu Drăgușin;Tottenham;DF;1,252;22;0;0;1;4;1;10;15;840;716;37;623;7;0,0;0,0;71,885;287,54;71,885;1
Martin Dúbravka;Newcastle Utd;GK;900;35;0;0;0;0;0;0;0;333;265;0;202;0;0,0;0,0;0,0;0,0;0,0;1
Lewis Dunk;Brighton;DF;2,083;32;0;0;8;5;8;17;13;1953;1778;142;1341;20;0,0;0,0;345,655;216,035;345,655;0
Jáder Durán;Aston Villa;FW;638;20;7;0;49;2;49;8;0;163;115;13;133;7;0,987;0,0;6,912;0,282;6,912;1
Ederson;Manchester City;GK;2,320;30;0;4;0;15;0;0;1;923;811;2;654;0;0,0;155,172;0,0;581,897;0,0;1
Odsonne Édouard;Crystal Palace;MF,FW;115;26;0;0;4;0;4;1;0;28;17;4;24;3;0,0;0,0;3,13;0,0;3,13;1
Anthony Elanga;Nott'ham Forest;FW,MF;2,501;22;6;11;45;57;45;19;6;827;540;63;600;102;215,914;395,842;1619,352;2051,18;1619,352;2
Harvey Elliott;Liverpool;MF;371;21;1;2;18;11;18;5;1;292;240;44;188;10;0,243;0,485;4,367;2,668;4,367;1
Julio Enciso;Ipswich Town;MF,FW;869;20;2;3;17;14;17;12;1;248;171;28;205;23;0,207;0,311;1,761;1,45;1,761;1
Julio Enciso;Brighton;MF,FW;294;20;0;0;10;2;10;0;0;150;99;14;114;11;0,0;0,0;3,061;0,612;3,061;1
Wataru Endo;Liverpool;MF,DF;273;31;0;0;0;1;0;12;6;194;182;19;110;1;0,0;0,0;0,0;0,33;0,0;1
Christian Eriksen;Manchester Utd;MF;1,061;32;1;2;14;32;6;19;7;749;590;55;473;13;84,826;169,651;1187,559;2714,42;508,954;0
Romain Esse;Crystal Palace;MF;138;19;1;1;3;4;3;9;1;42;32;7;38;1;0,652;0,652;1,957;2,609;1,957;1
Pervis Estupiñán;Brighton;DF;2,402;26;1;1;12;21;12;65;37;1610;1338;132;1023;59;37,469;37,469;449,625;786,844;449,625;0
Evanilson;Bournemouth;FW;2,319;24;10;1;125;19;117;16;1;342;244;28;333;29;388,098;38,81;4851,229;737,387;4540,75;2
Jonny Evans;Manchester Utd;DF;315;36;0;0;1;0;1;8;5;217;192;10;143;3;0,0;0,0;0,286;0,0;0,286;1
Eberechi Eze;Crystal Palace;MF,FW;2,588;26;8;8;105;62;89;39;11;1047;777;97;840;69;278,207;278,207;3651,468;2156,105;3095,054;2
Łukasz Fabiański;West Ham;GK;1,160;39;0;0;0;0;0;0;0;495;332;0;285;0;0,0;0,0;0,0;0,0;0,0;1
Wout Faes;Leicester City;DF;2,815;26;1;0;15;1;15;42;26;1564;1376;86;1107;12;31,972;0,0;479,574;31,972;479,574;0
Abdul Fatawu Issahaku;Leicester City;FW;579;20;0;2;4;16;4;21;4;197;123;17;217;42;0,0;0,311;0,622;2,487;0,622;1
João Félix;Chelsea;FW,MF;369;24;1;1;22;10;22;8;3;199;171;26;193;21;0,244;0,244;5,366;2,439;5,366;1
Evan Ferguson;West Ham;FW;156;19;0;0;6;3;6;3;1;37;28;1;31;1;0,0;0,0;3,462;1,731;3,462;1
Evan Ferguson;Brighton;FW;246;19;1;0;5;4;5;4;0;58;43;1;42;2;0,366;0,0;1,829;1,463;1,829;1
Bruno Fernandes;Manchester Utd;MF;3,018;29;8;10;99;85;76;84;26;2242;1707;325;1542;77;238,569;298,211;2952,286;2534,791;2266,402;2
Mateus Fernandes;Southampton;MF;2,909;20;2;4;40;30;40;89;28;1361;1087;145;897;76;61,877;123,754;1237,539;928,154;1237,539;0
Enzo Fernández;Chelsea;MF;2,947;23;6;7;61;68;61;65;13;1900;1518;212;1211;60;183,237;213,777;1862,911;2076,688;1862,911;2
Mark Flekken;Brentford;GK;3,275;31;0;2;0;5;0;4;0;1717;1254;0;1122;0;0,0;54,962;0,0;137,405;0,0;1
Phil Foden;Manchester City;MF,FW;1,777;24;7;2;52;48;52;13;9;941;791;103;722;50;354,53;101,294;2633,652;2431,064;2633,652;2
Wesley Fofana;Chelsea;DF;1,172;23;0;0;4;4;4;13;14;803;724;32;557;19;0,0;0,0;307,167;307,167;307,167;1
Carlos Forbs;Wolves;MF,FW;239;20;0;0;1;0;1;8;1;91;60;8;75;10;0,0;0,0;0,377;0,0;0,377;1
Fraser Forster;Tottenham;GK;630;36;0;0;0;0;0;0;0;198;168;0;113;0;0,0;0,0;0,0;0,0;0,0;1
Ryan Fraser;Southampton;FW,DF;306;30;0;0;0;1;0;6;1;103;77;8;74;10;0,0;0,0;0,0;0,294;0,0;1
Tyler Fredricson;Manchester Utd;DF;165;19;0;0;0;0;0;5;1;122;110;8;86;2;0,0;0,0;0,0;0,0;0,0;1
Niclas Füllkrug;West Ham;FW;790;31;3;2;22;19;22;4;1;198;133;14;123;7;0,342;0,228;2,506;2,165;2,506;1
Cody Gakpo;Liverpool;FW;1,935;25;10;4;71;44;71;28;12;634;480;52;605;59;465,116;186,047;3302,326;2046,512;3302,326;2
Idrissa Gana Gueye;Everton;MF;3,063;34;0;3;11;17;11;133;48;1422;1230;145;861;27;0,0;88,149;323,213;499,51;323,213;0
Andrés García;Aston Villa;DF,MF;318;21;0;0;0;2;0;9;2;201;174;15;159;26;0,0;0,0;0,0;0,566;0,0;1
Alejandro Garnacho;Manchester Utd;MF,FW;2,199;20;6;2;73;45;73;30;13;823;649;56;840;141;245,566;81,855;2987,722;1841,746;2987,722;2
James Garner;Everton;MF,DF;1,594;23;0;1;7;14;7;47;23;803;611;50;478;15;0,0;56,462;395,232;790,464;395,232;0
Tyrique George;Chelsea;FW;183;18;1;1;2;7;2;2;2;54;43;3;46;9;0,492;0,492;0,984;3,443;0,984;1
Morgan Gibbs-White;Nott'ham Forest;MF;2,803;24;7;8;63;50;63;43;23;1269;993;164;923;69;224,759;256,868;2022,833;1605,423;2022,833;2
Billy Gilmour;Brighton;MF;98;23;0;0;1;0;1;3;0;67;58;11;44;2;0,0;0,0;0,918;0,0;0,918;1
Ben Godfrey;Ipswich Town;DF;159;26;0;0;0;0;0;1;2;57;47;4;33;2;0,0;0,0;0,0;0,0;0,0;1
João Gomes;Wolves;MF;2,974;23;3;1;29;12;29;116;25;1623;1380;165;1059;59;90,787;30,262;877,606;363,147;877,606;0
Rodrigo Gomes;Wolves;DF,FW;810;21;2;0;7;9;7;23;7;309;212;27;217;23;0,222;0,0;0,778;1,0;0,778;1
Toti Gomes;Wolves;DF;2,614;25;0;1;7;9;7;61;25;1714;1473;86;1205;27;0,0;34,43;241,01;309,87;241,01;0
Diego Gómez;Brighton;MF;516;21;1;0;9;7;9;21;8;302;243;27;193;8;0,174;0,0;1,57;1,221;1,57;1
Joe Gomez;Liverpool;DF;519;27;0;0;3;1;3;13;7;425;377;35;303;5;0,0;0,0;0,52;0,173;0,52;1
Nicolás González;Manchester City;MF;760;22;1;0;5;1;5;16;8;625;575;50;425;9;0,118;0,0;0,592;0,118;0,592;1
Anthony Gordon;Newcastle Utd;FW,MF;2,434;23;6;5;80;50;65;32;7;982;720;98;818;121;221,857;184,881;2958,094;1848,809;2403,451;2
Ryan Gravenberch;Liverpool;MF;3,160;22;0;4;11;31;11;69;60;1927;1718;181;1396;70;0,0;113,924;313,291;882,911;313,291;0
Archie Gray;Tottenham;DF,MF;1,751;18;0;0;0;1;0;16;19;1145;1001;40;878;7;0,0;0,0;0,0;51,399;0,0;1
Jack Grealish;Manchester City;FW,MF;721;28;1;1;11;18;11;9;2;436;382;52;376;69;0,125;0,125;1,373;2,247;1,373;1
Jacob Greaves;Ipswich Town;DF;2,205;23;1;0;13;3;13;40;21;1121;962;69;619;11;40,816;0,0;530,612;122,449;530,612;0
Brajan Gruda;Brighton;MF,FW;687;20;1;4;12;21;12;16;2;251;187;26;202;22;0,131;0,524;1,572;2,751;1,572;1
Albert Grønbaek;Southampton;FW,MF;143;23;0;0;1;0;1;4;0;18;13;1;18;1;0,0;0,0;0,629;0,0;0,629;1
Gonçalo Guedes;Wolves;MF,FW;995;27;2;4;32;13;32;16;5;349;259;40;304;41;0,181;0,362;2,894;1,176;2,894;1
Marc Guéhi;Crystal Palace;DF;3,059;24;3;2;20;18;20;61;28;1765;1473;134;1142;22;88,264;58,843;588,428;529,585;588,428;0
Luis Guilherme;West Ham;MF,FW;150;18;0;0;4;1;4;1;3;67;58;5;51;4;0,0;0,0;2,4;0,6;2,4;1
Bruno Guimarães;Newcastle Utd;MF;3,271;26;5;6;43;61;43;83;29;1798;1481;271;1400;64;137,573;165,087;1183,124;1678,386;1183,124;0
İlkay Gündoğan;Manchester City;MF;2,223;33;1;6;32;35;32;25;13;1703;1525;127;1118;64;40,486;242,915;1295,547;1417,004;1295,547;0
Malo Gusto;Chelsea;DF;1,862;21;0;1;17;14;17;45;24;1385;1198;119;882;50;0,0;48,335;821,697;676,692;821,697;0
Joško Gvardiol;Manchester City;DF;3,277;22;5;0;46;21;43;58;44;2721;2454;264;1997;91;137,321;0,0;1263,351;576,747;1180,958;0
Erling Haaland;Manchester City;FW;2,736;24;22;3;220;30;188;11;5;381;255;20;310;24;723,684;98,684;7236,842;986,842;6184,211;2
