player,club,age,birth_year,nation,position,shooting__goals,shooting__goals_per_shot,shooting__goals_per_shot_on_target,shooting__minutes_90s,shooting__npxg,shooting__npxg_net,shooting__npxg_per_shot,shooting__pens_att,shooting__pens_made,shooting__shots,shooting__shots_free_kicks,shooting__shots_on_target,shooting__shots_on_target_pct,shooting__shots_on_target_per90,shooting__shots_per90,shooting__xg,shooting__xg_net,passing__assisted_shots,passing__assists,passing__crosses_into_penalty_area,passing__minutes_90s,passing__pass_xa,passing__passes,passing__passes_completed,passing__passes_completed_long,passing__passes_completed_medium,passing__passes_completed_short,passing__passes_into_final_third,passing__passes_into_penalty_area,passing__passes_long,passing__passes_medium,passing__passes_pct,passing__passes_pct_long,passing__passes_pct_medium,passing__passes_pct_short,passing__passes_progressive_distance,passing__passes_short,passing__passes_total_distance,passing__progressive_passes,passing__xg_assist,passing__xg_assist_net,passing_types__corner_kicks,passing_types__corner_kicks_in,passing_types__corner_kicks_out,passing_types__corner_kicks_straight,passing_types__crosses,passing_types__minutes_90s,passing_types__passes,passing_types__passes_blocked,passing_types__passes_completed,passing_types__passes_dead,passing_types__passes_free_kicks,passing_types__passes_live,passing_types__passes_offsides,passing_types__passes_switches,passing_types__through_balls,passing_types__throw_ins,gca__defense,gca__fouled,gca__gca,gca__minutes_90s,gca__passes_dead,gca__passes_live,gca__per90,gca__sca,gca__sca_defense,gca__sca_fouled,gca__sca_passes_dead,gca__sca_passes_live,gca__sca_per90,gca__sca_shots,gca__sca_take_ons,gca__shots,gca__take_ons,defense__blocked_passes,defense__blocked_shots,defense__blocks,defense__challenge_tackles,defense__challenge_tackles_pct,defense__challenges,defense__challenges_lost,defense__clearances,defense__errors,defense__interceptions,defense__minutes_90s,defense__tackles,defense__tackles_att_3rd,defense__tackles_def_3rd,defense__tackles_interceptions,defense__tackles_mid_3rd,defense__tackles_won,possession__carries,possession__carries_distance,possession__carries_into_final_third,possession__carries_into_penalty_area,possession__carries_progressive_distance,possession__dispossessed,possession__minutes_90s,possession__miscontrols,possession__passes_received,possession__progressive_carries,possession__progressive_passes_received,possession__take_ons,possession__take_ons_tackled,possession__take_ons_tackled_pct,possession__take_ons_won,possession__take_ons_won_pct,possession__touches,possession__touches_att_3rd,possession__touches_att_pen_area,possession__touches_def_3rd,possession__touches_def_pen_area,possession__touches_live_ball,possession__touches_mid_3rd,playing_time__games_starts,playing_time__games_subs,playing_time__minutes,playing_time__minutes_90s,playing_time__minutes_pct,playing_time__minutes_per_game,playing_time__minutes_per_start,playing_time__minutes_per_sub,playing_time__on_goals_against,playing_time__on_goals_for,playing_time__on_xg_against,playing_time__on_xg_for,playing_time__plus_minus,playing_time__plus_minus_per90,playing_time__plus_minus_wowy,playing_time__points_per_game,playing_time__unused_subs,playing_time__xg_plus_minus,playing_time__xg_plus_minus_per90,playing_time__xg_plus_minus_wowy,misc__aerials_lost,misc__aerials_won,misc__aerials_won_pct,misc__ball_recoveries,misc__cards_red,misc__cards_yellow,misc__cards_yellow_red,misc__crosses,misc__fouled,misc__fouls,misc__interceptions,misc__minutes_90s,misc__offsides,misc__own_goals,misc__pens_conceded,misc__pens_won,misc__tackles_won,goalkeeping__gk_clean_sheets,goalkeeping__gk_clean_sheets_pct,goalkeeping__gk_games_starts,goalkeeping__gk_goals_against,goalkeeping__gk_goals_against_per90,goalkeeping__gk_losses,goalkeeping__gk_minutes,goalkeeping__gk_pens_allowed,goalkeeping__gk_pens_att,goalkeeping__gk_pens_missed,goalkeeping__gk_pens_save_pct,goalkeeping__gk_pens_saved,goalkeeping__gk_save_pct,goalkeeping__gk_saves,goalkeeping__gk_shots_on_target_against,goalkeeping__gk_ties,goalkeeping__gk_wins,goalkeeping__minutes_90s,goalkeeping_adv__gk_avg_distance_def_actions,goalkeeping_adv__gk_corner_kick_goals_against,goalkeeping_adv__gk_crosses,goalkeeping_adv__gk_crosses_stopped,goalkeeping_adv__gk_crosses_stopped_pct,goalkeeping_adv__gk_def_actions_outside_pen_area,goalkeeping_adv__gk_def_actions_outside_pen_area_per90,goalkeeping_adv__gk_free_kick_goals_against,goalkeeping_adv__gk_goal_kick_length_avg,goalkeeping_adv__gk_goal_kicks,goalkeeping_adv__gk_goals_against,goalkeeping_adv__gk_own_goals_against,goalkeeping_adv__gk_passes,goalkeeping_adv__gk_passes_completed_launched,goalkeeping_adv__gk_passes_launched,goalkeeping_adv__gk_passes_length_avg,goalkeeping_adv__gk_passes_pct_launched,goalkeeping_adv__gk_passes_throws,goalkeeping_adv__gk_pct_goal_kicks_launched,goalkeeping_adv__gk_pct_passes_launched,goalkeeping_adv__gk_pens_allowed,goalkeeping_adv__gk_psnpxg_per_shot_on_target_against,goalkeeping_adv__gk_psxg,goalkeeping_adv__gk_psxg_net,goalkeeping_adv__gk_psxg_net_per90,goalkeeping_adv__minutes_90s,assists,assists_per90,cards_red,cards_yellow,games,games_starts,goals,goals_assists,goals_assists_pens_per90,goals_assists_per90,goals_pens,goals_pens_per90,goals_per90,minutes,minutes_90s,npxg,npxg_per90,npxg_xg_assist,npxg_xg_assist_per90,pens_att,pens_made,progressive_carries,progressive_passes,progressive_passes_received,ranker,xg,xg_assist,xg_assist_per90,xg_per90,xg_xg_assist_per90
Thomas Partey,Arsenal,31,1993,ghGHA,"MF,DF",4,0.15,0.44,31.1,2.3,+1.7,0.09,0,0,26,0,9,34.6,0.29,0.84,2.3,+1.7,20,2,2,31.1,2.6,1920,1678,91,682,874,168,33,143,767,87.4,63.6,88.9,92.8,7155,942,26697,185,2.1,-0.1,0,0,0,0,12,31.1,1920,13,1678,95,27,1819,6,4,6,62,1,1,13,31.1,2,8,0.42,62,4,1,2,52,2.00,2,1,1,0,20,9,29,46,60.5,76,30,49,4,35,31.1,89,24,26,124,39,53,1256,6822,42,3,3691,17,31.1,24,1561,36,48,35,9,25.7,24,68.6,2193,534,33,457,74,2193,1214,31,4,"2,797",31.1,81.8,80,88,19,30,52,30.3,43.7,+22,+0.71,-1.17,1.91,2,+13.4,+0.43,-1.31,27,28,50.9,138,0,4,0,12,31,45,35,31.1,1,0,0,0,53,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,2,0.06,0,4,35,31,4,6,0.19,0.19,4,0.13,0.13,"2,797",31.1,2.3,0.07,4.3,0.14,0,0,36,185,48,411,2.3,2.1,0.07,0.07,0.14
David Raya,Arsenal,28,1995,esESP,GK,0,N/a,N/a,38.0,0.0,0.0,N/a,0,0,0,0,0,N/a,0.00,0.00,0.0,0.0,1,0,0,38.0,0.1,1413,1040,215,537,285,45,3,570,548,73.6,37.7,98.0,99.0,17222,288,24784,14,0.0,0.0,0,0,0,0,0,38.0,1413,0,1040,238,91,1172,3,3,0,0,0,0,1,38.0,0,1,0.03,5,0,0,1,4,0.13,0,0,0,0,0,0,0,0,0.0,2,2,21,9,2,38.0,0,0,0,2,0,0,921,4542,0,0,2729,0,38.0,1,841,0,0,1,0,0.0,1,100.0,1480,0,0,1388,880,1480,92,38,0,"3,420",38.0,100.0,90,90,N/a,34,69,34.4,59.9,+35,+0.92,N/a,1.95,0,+25.5,+0.67,N/a,0,13,100.0,41,0,3,0,0,10,1,2,38.0,0,0,1,0,0,13,34.2,38,34,0.89,4,"3,420",3,3,0,0.0,0,74.2,86,120,14,20,38.0,17.2,8,402,53,13.2,66,1.74,2,49.1,147,34,0,1263,149,478,29.9,31.2,178,68.0,29.9,3,0.28,35.1,+1.1,+0.03,38.0,0,0.00,0,3,38,38,0,0,0.00,0.00,0,0.00,0.00,"3,420",38.0,0.0,0.00,0.0,0.00,0,0,0,14,0,429,0.0,0.0,0.00,0.00,0.00
Declan Rice,Arsenal,25,1999,engENG,MF,4,0.08,0.29,31.4,3.5,+0.5,0.07,0,0,48,2,14,29.2,0.45,1.53,3.5,+0.5,59,7,5,31.4,5.6,1650,1376,117,553,678,137,35,240,611,83.4,48.8,90.5,92.0,6234,737,23402,192,6.6,+0.4,108,94,3,0,164,31.4,1650,15,1376,208,71,1436,6,17,5,4,0,0,10,31.4,2,6,0.32,111,2,5,33,62,3.54,5,4,1,1,14,13,27,17,41.5,41,24,51,0,25,31.4,53,6,22,78,25,25,1031,6464,58,16,3394,32,31.4,36,1266,90,94,29,14,48.3,14,48.3,1948,733,81,325,82,1948,909,33,2,"2,825",31.4,82.6,81,84,23,28,56,26.8,48.8,+28,+0.89,-0.17,1.91,1,+22.0,+0.70,+0.17,25,37,59.7,156,1,7,1,164,16,21,25,31.4,2,0,0,0,25,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,7,0.22,1,7,35,33,4,11,0.35,0.35,4,0.13,0.13,"2,825",31.4,3.5,0.11,10.1,0.32,0,0,90,192,94,435,3.5,6.6,0.21,0.11,0.32
Bukayo Saka,Arsenal,22,2001,engENG,"FW,MF",6,0.08,0.23,19.2,6.0,-1.0,0.09,1,1,66,1,22,33.3,1.15,3.44,6.8,-0.8,58,10,12,19.2,7.8,731,552,45,154,334,15,38,92,214,75.5,48.9,72.0,90.0,2487,371,8408,70,7.6,+2.4,64,56,0,2,117,19.2,731,21,552,83,7,644,4,2,4,12,0,1,23,19.2,5,14,1.20,117,0,4,20,71,6.09,10,12,1,2,22,0,22,13,54.2,24,11,8,0,3,19.2,29,9,9,32,11,15,628,4253,32,51,2460,40,19.2,34,711,96,255,90,37,41.1,41,45.6,979,715,162,57,6,978,216,20,5,"1,729",19.2,50.6,69,79,32,21,38,17.6,34.8,+17,+0.88,-0.07,1.96,0,+17.3,+0.90,+0.46,20,10,33.3,70,0,3,0,117,39,15,3,19.2,7,0,0,1,15,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,10,0.52,0,3,25,20,6,16,0.78,0.83,5,0.26,0.31,"1,729",19.2,6.0,0.31,13.7,0.71,1,1,96,70,255,448,6.8,7.6,0.40,0.36,0.75
William Saliba,Arsenal,23,2001,frFRA,DF,2,0.33,1.00,33.8,2.3,-0.3,0.38,0,0,6,0,2,33.3,0.06,0.18,2.3,-0.3,7,0,0,33.8,1.3,2559,2413,123,1255,1026,180,6,154,1306,94.3,79.9,96.1,95.8,12540,1071,41458,138,0.9,-0.9,0,0,0,0,3,33.8,2559,4,2413,46,36,2508,5,10,1,4,0,0,1,33.8,0,1,0.03,27,1,0,0,25,0.80,1,0,0,0,10,15,25,21,75.0,28,7,119,7,21,33.8,62,2,37,83,23,37,1756,7626,17,1,4154,8,33.8,19,2137,16,6,19,6,31.6,12,63.2,2824,142,18,1127,190,2824,1571,35,0,"3,039",33.8,88.9,87,87,N/a,27,62,29.8,54.2,+35,+1.04,+1.04,1.97,0,+24.4,+0.72,+0.48,36,61,62.9,154,1,2,0,3,17,28,21,33.8,1,0,1,0,37,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,0,0.00,1,2,35,35,2,2,0.06,0.06,2,0.06,0.06,"3,039",33.8,2.3,0.07,3.1,0.09,0,0,16,138,6,450,2.3,0.9,0.03,0.07,0.09
Raheem Sterling,Arsenal,29,1994,engENG,"FW,MF",0,0.00,N/a,5.5,1.4,-1.4,0.13,0,0,11,2,0,0.0,0.00,1.98,1.4,-1.4,8,2,2,5.5,0.5,201,158,3,43,103,4,9,4,57,78.6,75.0,75.4,88.0,403,117,2022,18,0.5,+1.5,1,0,0,0,16,5.5,201,7,158,2,0,197,2,1,0,1,0,0,3,5.5,0,3,0.54,19,0,0,0,14,3.43,2,3,0,0,3,0,3,5,50.0,10,5,4,0,1,5.5,9,5,1,10,3,4,201,1407,11,15,750,14,5.5,13,211,27,79,30,10,33.3,10,33.3,274,209,38,10,2,274,58,7,10,499,5.5,14.6,29,56,11,4,12,4.1,9.1,+8,+1.44,+0.61,2.00,12,+5.0,+0.90,+0.27,3,1,25.0,16,0,1,0,16,8,12,1,5.5,4,0,0,0,4,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,2,0.36,0,1,17,7,0,2,0.36,0.36,0,0.00,0.00,499,5.5,1.4,0.26,1.9,0.34,0,0,27,18,79,490,1.4,0.5,0.09,0.26,0.34
Kieran Tierney,Arsenal,27,1997,sctSCO,"DF,FW",1,0.50,1.00,2.9,0.4,+0.6,0.18,0,0,2,0,1,50.0,0.35,0.69,0.4,+0.6,8,0,2,2.9,0.7,173,145,8,65,69,13,5,15,78,83.8,53.3,83.3,94.5,699,73,2325,15,1.4,-1.4,0,0,0,0,14,2.9,173,2,145,18,4,155,0,0,1,14,0,0,0,2.9,0,0,0.00,10,0,0,1,9,3.47,0,0,0,0,0,0,0,4,66.7,6,2,9,0,3,2.9,7,2,4,10,1,5,108,447,6,1,253,0,2.9,3,143,8,29,4,1,25.0,2,50.0,199,91,6,36,8,199,72,2,11,259,2.9,7.6,20,62,12,1,3,2.6,4.8,+2,+0.69,-0.24,2.08,13,+2.1,+0.75,+0.08,5,5,50.0,6,0,0,0,14,2,1,3,2.9,2,0,0,0,5,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,0,0.00,0,0,13,2,1,1,0.35,0.35,1,0.35,0.35,259,2.9,0.4,0.12,1.7,0.60,0,0,8,15,29,510,0.4,1.4,0.48,0.12,0.60
Jurriën Timber,Arsenal,23,2001,nlNED,DF,1,0.07,0.25,26.9,1.2,-0.2,0.09,0,0,14,0,4,28.6,0.15,0.52,1.2,-0.2,17,3,2,26.9,1.3,1395,1194,27,472,674,107,17,51,549,85.6,52.9,86.0,91.0,4642,741,17327,146,0.8,+2.2,0,0,0,0,28,26.9,1395,25,1194,204,22,1188,3,1,2,182,0,0,9,26.9,0,8,0.34,52,1,1,1,46,1.94,0,3,0,1,15,4,19,18,66.7,27,9,44,1,22,26.9,58,11,17,80,30,38,890,3916,27,11,2076,24,26.9,33,1052,57,104,53,24,45.3,24,45.3,1661,505,66,304,51,1661,859,27,3,"2,417",26.9,70.7,81,87,25,21,52,21.3,42.3,+31,+1.15,+0.80,2.00,2,+21.0,+0.78,+0.38,20,22,52.4,94,0,7,0,28,29,31,22,26.9,6,0,0,0,38,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,3,0.11,0,7,30,27,1,4,0.15,0.15,1,0.04,0.04,"2,417",26.9,1.2,0.05,2.1,0.08,0,0,57,146,104,511,1.2,0.8,0.03,0.05,0.08
Leandro Trossard,Arsenal,29,1994,beBEL,FW,8,0.11,0.38,28.3,7.2,+0.8,0.10,0,0,72,0,21,29.2,0.74,2.55,7.2,+0.8,41,7,10,28.3,4.1,954,711,43,275,377,45,48,87,357,74.5,49.4,77.0,85.9,2972,439,11435,101,6.1,+0.9,10,9,0,0,86,28.3,954,41,711,29,5,917,8,5,7,7,0,0,8,28.3,0,8,0.28,93,2,4,2,72,3.29,6,7,0,0,32,0,32,12,35.3,34,22,18,0,9,28.3,31,9,6,40,16,20,828,5024,55,30,2218,52,28.3,66,956,80,226,86,37,43.0,38,44.2,1278,762,158,135,17,1278,399,28,10,"2,546",28.3,74.4,67,82,25,26,53,24.2,44.5,+27,+0.95,+0.13,1.95,0,+20.3,+0.72,+0.19,24,6,20.0,104,1,4,1,86,46,27,9,28.3,6,0,0,0,20,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,7,0.25,1,4,38,28,8,15,0.53,0.53,8,0.28,0.28,"2,546",28.3,7.2,0.25,13.3,0.47,0,0,80,101,226,523,7.2,6.1,0.22,0.25,0.47
Ben White,Arsenal,26,1997,engENG,DF,0,0.00,0.00,13.3,0.5,-0.5,0.05,0,0,9,0,2,22.2,0.15,0.68,0.5,-0.5,10,2,2,13.3,1.4,692,580,24,234,309,55,11,50,276,83.8,48.0,84.8,91.7,2998,337,9173,59,1.4,+0.6,0,0,0,0,17,13.3,692,7,580,107,20,583,2,7,1,83,0,0,2,13.3,0,2,0.15,23,0,0,1,22,1.73,0,0,0,0,2,8,10,16,42.1,38,22,44,0,16,13.3,20,6,10,36,4,14,394,1617,16,4,953,6,13.3,10,494,23,42,6,5,83.3,0,0.0,813,238,28,214,55,813,367,13,4,"1,198",13.3,35.0,70,86,19,13,20,16.2,18.9,+7,+0.53,-0.61,1.47,3,+2.7,+0.21,-0.71,9,18,66.7,37,0,2,0,17,5,10,16,13.3,1,0,0,0,14,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,2,0.15,0,2,17,13,0,2,0.15,0.15,0,0.00,0.00,"1,198",13.3,0.5,0.03,1.8,0.14,0,0,23,59,42,554,0.5,1.4,0.10,0.03,0.14
Oleksandr Zinchenko,Arsenal,27,1996,uaUKR,"DF,MF",0,0.00,N/a,5.9,0.6,-0.6,0.07,0,0,10,1,0,0.0,0.00,1.71,0.6,-0.6,3,1,3,5.9,0.5,451,382,17,154,204,30,11,37,175,84.7,45.9,88.0,92.7,1345,220,6080,48,0.2,+0.8,1,0,0,0,13,5.9,451,3,382,49,14,399,3,3,2,33,0,0,2,5.9,0,2,0.34,22,0,1,1,17,3.76,2,1,0,0,7,1,8,3,37.5,8,5,10,0,5,5.9,6,2,1,11,3,1,281,1348,8,3,573,4,5.9,3,348,10,14,5,1,20.0,3,60.0,499,181,20,86,16,499,233,5,10,527,5.9,15.4,35,72,17,1,9,3.1,8.7,+8,+1.37,+0.53,1.87,16,+5.6,+0.95,+0.33,11,12,52.2,19,0,1,0,13,3,8,5,5.9,1,0,0,0,1,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,1,0.17,0,1,15,5,0,1,0.17,0.17,0,0.00,0.00,527,5.9,0.6,0.11,0.8,0.14,0,0,10,48,14,572,0.6,0.2,0.03,0.11,0.14
Martin Ødegaard,Arsenal,25,1998,noNOR,MF,3,0.04,0.13,25.8,4.0,-2.0,0.08,1,1,48,3,15,31.3,0.58,1.86,4.8,-1.8,63,8,5,25.8,6.7,1499,1237,80,449,678,132,86,146,517,82.5,54.8,86.8,90.5,5460,749,19237,258,5.4,+2.6,37,31,0,0,86,25.8,1499,27,1237,114,35,1373,12,3,25,12,0,0,18,25.8,2,14,0.70,124,0,2,13,101,4.80,5,3,1,1,5,0,5,4,16.0,25,21,6,1,6,25.8,19,3,9,25,7,11,1174,7444,85,26,3772,40,25.8,38,1336,92,154,59,32,54.2,25,42.4,1694,875,115,126,9,1693,708,26,4,"2,325",25.8,68.0,78,86,23,21,50,21.7,41.1,+29,+1.12,+0.63,2.00,0,+19.4,+0.75,+0.25,7,8,53.3,97,0,4,0,86,23,12,6,25.8,1,0,0,0,11,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,8,0.31,0,4,30,26,3,11,0.39,0.43,2,0.08,0.12,"2,325",25.8,4.0,0.16,9.5,0.37,1,1,92,258,154,574,4.8,5.4,0.21,0.19,0.40
